voltage time control
24.63 14.726162910461426 4434.163808544037
24.67 14.825904846191406 4376.775247323439
24.71 14.92264175415039 4319.958808545009
24.75 15.023369550704956 4268.539752287168
24.79 15.11911416053772 4204.657808544334
24.83 15.21884536743164 4146.255808545032
24.86 15.31736135482788 4117.812064219643
24.9 15.415140867233276 4043.721808544581
24.94 15.510847091674805 3984.28580849142
24.98 15.610579252243042 3924.4738085442077
25.01 15.70831561088562 3894.395064249019
25.05 15.807063102722168 3818.8948084918293
25.09 15.909373760223389 3757.6002473242143
25.12 16.005523920059204 3727.018272739374
25.16 16.10426378250122 3650.2338085441015
25.19 16.201998472213745 3613.7619354966423
25.22 16.300734996795654 3571.3272727391563
25.26 16.40047335624695 3493.1712473243206
25.29 16.498212814331055 3456.54110641122
25.33 16.597947359085083 3388.4623636465344
25.36 16.69697070121765 3344.219935496629
25.39 16.794679403305054 3295.897106410311
25.43 16.893418073654175 3226.42775228895
25.46 16.993141889572144 3181.886106411069
25.5 17.09173822402954 3106.547808541321
25.53 17.18947696685791 3070.801064220049
25.57 17.289209365844727 2990.4128085422426
25.6 17.38794493675232 2950.411106374942
25.63 17.48668146133423 2902.9360642481793
25.67 17.58748984336853 2821.607808540555
25.7 17.683175325393677 2780.6661063740225
25.73 17.78592538833618 2732.1010642466977
25.77 17.88262176513672 2649.83280849494
25.8 17.98036289215088 2607.9511064120607
25.84 18.077698707580566 2529.0432473245332
25.87 18.17643666267395 2490.211272740741
25.9 18.276207447052002 2431.855935499136
25.94 18.372907400131226 2352.724808542853
25.97 18.47364640235901 2312.335272738838
26.01 18.571380853652954 2227.2042473244906
26.04 18.67015314102173 2183.5241064083166
26.07 18.769883632659912 2131.2530642226593
26.1 18.867592573165894 2071.5211064103783
26.13 18.965322971343994 2015.8991064057554
26.16 19.067051887512207 1959.9951063749752
26.19 19.161797285079956 1906.4160642451268
26.23 19.26056957244873 1819.8238084968393
26.26 19.361305236816406 1773.6181064120753
26.29 19.456504344940186 1718.9490642421604
26.32 19.555241107940674 1657.1491063754208
26.35 19.656972408294678 1599.2509355005425
26.39 19.753767490386963 1519.8553636526233
26.42 19.851505041122437 1465.9561064119468
26.45 19.957262992858887 1407.1279354976175
26.49 20.050975561141968 1326.6323636498344
26.52 20.149707794189453 1271.6019355006858
26.56 20.24853777885437 1186.642808541876
26.59 20.34718108177185 1139.4332727387139
26.63 20.445921897888184 1048.5362473247835
26.66 20.545647621154785 999.0281064060562
26.7 20.64346694946289 915.7157522925007
26.74 20.741955518722534 833.5038085416769
26.77 20.835701942443848 782.5041064021227
26.81 20.93843936920166 694.8518084953772
26.84 21.03317642211914 644.8260642428328
26.87 21.13191270828247 577.8561063802457
26.9 21.230647563934326 514.9961064119925
26.94 21.32946467399597 425.85824732516915
26.97 21.429115295410156 374.92627274292624
27.0 21.52586078643799 306.34093550202533
27.03 21.625593662261963 242.60210640898688
27.05 21.724334478378296 203.78518183083386
27.08 21.82505750656128 125.36493549793265
27.1 21.921799421310425 86.6064042723011
27.13 22.02059245109558 12.143064225470967
27.15 22.120211601257324 -31.820595723408825
27.17 22.21694588661194 -82.21859573230942
27.19 22.31568431854248 -133.1616238469962
27.21 22.41343379020691 -186.86359572789905
27.23 22.51216220855713 -237.825595737426
27.25 22.61189079284668 -289.4226238319941
27.26 22.710679531097412 -317.95629786500126
27.28 22.807370901107788 -380.02659574185185
27.29 22.91109824180603 -407.8853119146554
27.31 23.00483775138855 -471.70159573700545
27.32 23.10656499862671 -497.87129785246395
27.33 23.201354265213013 -534.6546881560321
27.34 23.300050735473633 -573.7329090720358
27.36 23.398784399032593 -638.0953763240245
27.36 23.498160123825073 -638.7739999881021
27.37 23.596896648406982 -688.9349090768586
27.38 23.69966745376587 -727.7306881560335
27.39 23.795408725738525 -765.0822978607392
27.4 23.89818024635315 -804.7783119100569
27.4 23.993835926055908 -818.1639999881143
27.4 24.09257173538208 -840.723999997949
27.4 24.191307544708252 -866.8839999831968
27.4 24.290045022964478 -889.4439999930315
27.4 24.38878631591797 -912.0039999749267
27.41 24.48751425743103 -962.4473119101535
27.4 24.587257146835327 -950.1947021302994
27.4 24.683990240097046 -983.3929999798992
27.4 24.781728267669678 -1009.5529999930868
27.4 24.881755113601685 -1032.1129999749821
27.4 24.980517387390137 -1054.6729999848167
27.39 25.078221321105957 -1051.1473118104668
27.39 25.17896294593811 -1088.1899999799227
27.38 25.273706912994385 -1084.5713118055703
27.38 25.373475313186646 -1117.6959999881215
27.37 25.47220277786255 -1119.6750908927518
27.36 25.56995439529419 -1124.9613118104742
27.35 25.668652057647705 -1132.165702125205
27.34 25.768378496170044 -1144.1356880467397
27.33 25.866116523742676 -1149.573702120361
27.32 25.962862014770508 -1156.381702129875
27.31 26.06060028076172 -1163.0957020992678
27.3 26.161370038986206 -1174.62968807081
27.29 26.259559392929077 -1179.6917020946319
27.28 26.359513998031616 -1186.1237021171569
27.27 26.45403742790222 -1197.3306880753462
27.26 26.553847551345825 -1202.1107020994066
27.24 26.65250873565674 -1182.0756236332209
27.23 26.75024676322937 -1198.904702120258
27.22 26.851975917816162 -1209.8720908927899
27.21 26.949710845947266 -1213.7633118106226
27.19 27.048446655273438 -1200.4241817962318
27.18 27.147186279296875 -1213.1273118061365
27.17 27.2459237575531 -1218.6397021201294
27.15 27.345651388168335 -1198.2114042612268
27.14 27.44349718093872 -1218.6396880517075
27.13 27.542130947113037 -1222.1977021245063
27.11 27.646284103393555 -1201.3934042145388
27.1 27.741432666778564 -1221.3856880658575
27.08 27.836138248443604 -1198.8354042609462
27.07 27.933876752853394 -1213.9317020998665
27.05 28.03173041343689 -1192.1296236338137
27.03 28.128355979919434 -1187.7831817924448
27.02 28.22609782218933 -1199.3147021171424
27.0 28.32491946220398 -1177.0476236379507
26.98 28.425614833831787 -1172.1511817966511
26.96 28.523300886154175 -1157.055623633908
26.94 28.621039152145386 -1145.5204042520463
26.92 28.71986174583435 -1133.5684042599148
26.9 28.817511320114136 -1127.2063761200752
26.89 28.91734004020691 -1137.6827021236836
26.87 29.018059968948364 -1114.6224042155227
26.85 29.114724159240723 -1107.7153761434831
26.83 29.213455200195312 -1091.9894042595295
26.81 29.310195922851562 -1079.0034042195296
26.79 29.40894079208374 -1071.4423761471603
26.77 29.506728887557983 -1055.1524042160142
26.76 29.60341167449951 -1067.334702117284
26.74 29.70299458503723 -1042.649623638249
26.72 29.79971981048584 -1034.8931817973166
26.7 29.898412227630615 -1017.3796236347428
26.68 29.99650549888611 -1003.4004042518156
26.66 30.096882343292236 -994.7551818007754
26.64 30.19461727142334 -976.6836236382406
26.62 30.291895151138306 -962.1404042550679
26.6 30.39258646965027 -952.5083761170812
26.58 30.490321159362793 -934.4324042516998
26.56 30.59005618095398 -919.0964042580969
26.54 30.68879723548889 -903.5724042201301
26.52 30.787528038024902 -893.0683761462773
26.5 30.88925576210022 -874.2404042171679
26.49 30.98512363433838 -883.8847021173221
26.47 31.083736658096313 -862.1973761491438
26.45 31.188462257385254 -842.8994042204116
26.43 31.282214164733887 -825.9696236356423
26.41 31.379029989242554 -814.8031817951394
