temp time control
23.86 13.534753561019897 5261.261808543452
23.9 13.633708477020264 5231.601808482455
23.94 13.732219934463501 5209.011752323863
23.97 13.832950592041016 5193.476106361389
24.01 13.929692506790161 5152.14380853726
24.05 14.027433395385742 5128.354752325374
24.09 14.129466533660889 5091.052808482921
24.13 14.22520637512207 5058.686247314678
24.16 14.322942972183228 5053.664272728499
24.2 14.420682907104492 5005.90380853716
24.24 14.522411346435547 4972.51424731629
24.28 14.619156122207642 4939.73980853961
24.31 14.714895963668823 4932.29106421085
24.35 14.815631628036499 4883.370808538031
24.39 14.912368774414062 4849.1048085405355
24.43 15.011104106903076 4821.173752280727
24.47 15.110859155654907 4780.299808539205
24.51 15.209843397140503 4744.905808482802
24.55 15.30758810043335 4715.666752320867
24.59 15.406411170959473 4673.66480853966
24.63 15.505053043365479 4637.142808484169
24.66 15.604790210723877 4625.879064243603
24.7 15.707509994506836 4573.668808483773
24.74 15.801263332366943 4536.11280853754
24.78 15.899042844772339 4497.701247317015
24.82 15.998735666275024 4466.3283636397
24.85 16.09647035598755 4441.828935489464
24.89 16.196211338043213 4392.567808537497
24.93 16.292975425720215 4359.527363639956
24.97 16.394677877426147 4313.159247317005
25.01 16.49541139602661 4273.522808537334
25.04 16.589160203933716 4258.117064213061
25.08 16.68589425086975 4202.334808537258
25.12 16.78363299369812 4161.20680853676
25.16 16.885364055633545 4119.702808485272
25.2 16.979111671447754 4083.3787523197625
25.23 17.081849813461304 4055.999106366784
25.27 17.179078340530396 4002.8228085375026
25.31 17.27731680870056 3965.299752318689
25.34 17.376050233840942 3936.88610636654
25.38 17.474791049957275 3882.2562473182375
25.41 17.57359766960144 3863.484272733803
25.45 17.672259092330933 3803.9738085373424
25.48 17.770992279052734 3779.8049354900727
25.52 17.870733737945557 3729.979363640938
25.55 17.969547748565674 3698.9699354911577
25.59 18.07318639755249 3643.1288085363226
25.62 18.16594362258911 3621.5892727318055
25.66 18.26367712020874 3559.7132473172423
25.69 18.36245846748352 3534.3231064024894
25.73 18.463186740875244 3476.8228084875964
25.76 18.55788826942444 3453.5690642409872
25.8 18.654638528823853 3391.018808532842
25.83 18.752368688583374 3363.8551063672844
25.87 18.849172353744507 3304.66824731929
25.9 18.946848154067993 3280.506272735551
25.94 19.051735401153564 3216.3898085370715
25.97 19.14545440673828 3187.663935490133
26.01 19.245190858840942 3132.448363641672
26.04 19.344921588897705 3096.881935492222
26.08 19.439663887023926 3036.434808535375
26.11 19.53740119934082 3009.505272731542
26.15 19.63513994216919 2943.0722473172987
26.18 19.734873294830322 2913.076106400538
26.21 19.83261203765869 2871.7021063701395
26.25 19.93135166168213 2813.2947523179846
